,,id,HAS_API,DISCUSSES_API
6,https://stackoverflow.com/questions/11622652,11622652,TRUE,FALSE
10,https://stackoverflow.com/questions/20680272,20680272,TRUE,FALSE
15,https://stackoverflow.com/questions/34447448,34447448,TRUE,FALSE
16,https://stackoverflow.com/questions/23569771,23569771,TRUE,FALSE
21,https://stackoverflow.com/questions/31888856,31888856,TRUE,FALSE
32,https://stackoverflow.com/questions/39000481,39000481,TRUE,FALSE
36,https://stackoverflow.com/questions/28976546,28976546,TRUE,FALSE
40,https://stackoverflow.com/questions/45732459,45732459,TRUE,FALSE
49,https://stackoverflow.com/questions/56837418,56837418,TRUE,FALSE
0,https://stackoverflow.com/questions/21269399,21269399,TRUE,TRUE
1,https://stackoverflow.com/questions/10867028,10867028,TRUE,TRUE
2,https://stackoverflow.com/questions/20637439,20637439,TRUE,TRUE
3,https://stackoverflow.com/questions/33952142,33952142,TRUE,TRUE
4,https://stackoverflow.com/questions/15017072,15017072,TRUE,TRUE
5,https://stackoverflow.com/questions/15026698,15026698,TRUE,TRUE
7,https://stackoverflow.com/questions/31700691,31700691,TRUE,TRUE
8,https://stackoverflow.com/questions/17557074,17557074,TRUE,TRUE
9,https://stackoverflow.com/questions/12960574,12960574,TRUE,TRUE
11,https://stackoverflow.com/questions/18366797,18366797,TRUE,TRUE
12,https://stackoverflow.com/questions/20696479,20696479,TRUE,TRUE
13,https://stackoverflow.com/questions/25669588,25669588,TRUE,TRUE
14,https://stackoverflow.com/questions/39263929,39263929,TRUE,TRUE
17,https://stackoverflow.com/questions/15210962,15210962,TRUE,TRUE
18,https://stackoverflow.com/questions/28382735,28382735,TRUE,TRUE
19,https://stackoverflow.com/questions/34139102,34139102,TRUE,TRUE
20,https://stackoverflow.com/questions/40769691,40769691,TRUE,TRUE
22,https://stackoverflow.com/questions/28284912,28284912,TRUE,TRUE
23,https://stackoverflow.com/questions/26595819,26595819,TRUE,TRUE
24,https://stackoverflow.com/questions/38716643,38716643,TRUE,TRUE
25,https://stackoverflow.com/questions/41235111,41235111,TRUE,TRUE
26,https://stackoverflow.com/questions/36909368,36909368,TRUE,TRUE
27,https://stackoverflow.com/questions/47368296,47368296,TRUE,TRUE
28,https://stackoverflow.com/questions/26495408,26495408,TRUE,TRUE
29,https://stackoverflow.com/questions/31194669,31194669,TRUE,TRUE
30,https://stackoverflow.com/questions/30494569,30494569,TRUE,TRUE
31,https://stackoverflow.com/questions/29862864,29862864,TRUE,TRUE
33,https://stackoverflow.com/questions/14002158,14002158,TRUE,TRUE
34,https://stackoverflow.com/questions/42165649,42165649,TRUE,TRUE
35,https://stackoverflow.com/questions/20095983,20095983,TRUE,TRUE
37,https://stackoverflow.com/questions/22809061,22809061,TRUE,TRUE
38,https://stackoverflow.com/questions/31362573,31362573,TRUE,TRUE
39,https://stackoverflow.com/questions/31620667,31620667,TRUE,TRUE
41,https://stackoverflow.com/questions/13824840,13824840,TRUE,TRUE
42,https://stackoverflow.com/questions/13719946,13719946,TRUE,TRUE
43,https://stackoverflow.com/questions/20689288,20689288,TRUE,TRUE
44,https://stackoverflow.com/questions/49532873,49532873,TRUE,TRUE
45,https://stackoverflow.com/questions/38114654,38114654,TRUE,TRUE
46,https://stackoverflow.com/questions/41681250,41681250,TRUE,TRUE
47,https://stackoverflow.com/questions/52774459,52774459,TRUE,TRUE
48,https://stackoverflow.com/questions/69513799,69513799,TRUE,TRUE
50,https://stackoverflow.com/questions/24249690,24249690,TRUE,TRUE
51,https://stackoverflow.com/questions/12101113,12101113,TRUE,TRUE
52,https://stackoverflow.com/questions/32737137,32737137,TRUE,TRUE
53,https://stackoverflow.com/questions/45652772,45652772,TRUE,TRUE
54,https://stackoverflow.com/questions/44697714,44697714,TRUE,TRUE
