Example,Truth functions,Test functions,Linked functions
"QUnit.module('Group A');

QUnit.test('basic test example 1', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 2', function (assert) {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

QUnit.test('basic test example 3', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 4', function (assert) {
  assert.true(true, 'this is also fine');
});","['module', 'test']","['module', ('QUnit.test', 'N/A'), ('assert.true', 'N/A')]",['module']
"const { test } = QUnit;

QUnit.module('Group A');

test('basic test example', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 2', assert => {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

test('basic test example 3', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 4', assert => {
  assert.true(true, 'this is also fine');
});","['module', 'test', 'module', 'test']","['module', ('test', 'N/A'), ('assert.true', 'N/A')]","['module', 'module']"
"const { test } = QUnit;

QUnit.module('Group A', hooks => {
  test('basic test example', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 2', assert => {
    assert.true(true, 'this is also fine');
  });
});

QUnit.module('Group B', hooks => {
  test('basic test example 3', assert => {
    assert.true(true, 'this is fine');
  });

  test('basic test example 4', assert => {
    assert.true(true, 'this is also fine');
  });
});","['module', 'test']","[('test', 'N/A'), ('assert.true', 'N/A')]",[]
"const { test } = QUnit;

QUnit.module('My Group', hooks => {
  // It is valid to call the same hook methods more than once.
  hooks.beforeEach(assert => {
    assert.ok(true, 'beforeEach called');
  });

  hooks.afterEach(assert => {
    assert.ok(true, 'afterEach called');
  });

  test('with hooks', assert => {
    // 1 x beforeEach
    // 1 x afterEach
    assert.expect(2);
  });

  QUnit.module('Nested Group', hooks => {
    // This will run after the parent module's beforeEach hook
    hooks.beforeEach(assert => {
      assert.ok(true, 'nested beforeEach called');
    });

    // This will run before the parent module's afterEach
    hooks.afterEach(assert => {
      assert.ok(true, 'nested afterEach called');
    });

    test('with nested hooks', assert => {
      // 2 x beforeEach (parent, current)
      // 2 x afterEach (current, parent)
      assert.expect(4);
    });
  });
});","['module', 'test']","[('hooks.beforeEach', 'N/A'), ('assert.ok', 'N/A'), ('hooks.afterEach', 'N/A'), ('test', 'N/A'), ('assert.expect', 'N/A')]",[]
"QUnit.module('Machine Maker', {
  beforeEach: function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  }
});

QUnit.test('makes a robot', function (assert) {
  this.parts.push('arduino');
  assert.equal(this.maker.build(this.parts), 'robot');
  assert.deepEqual(this.maker.log, ['robot']);
});

QUnit.test('makes a car', function (assert) {
  assert.equal(this.maker.build(this.parts), 'car');
  this.maker.duplicate();
  assert.deepEqual(this.maker.log, ['car', 'car']);
});","['module', 'test']","[('Maker', 'N/A'), ('QUnit.test', 'N/A'), ('parts.push', 'N/A'), ('assert.equal', 'N/A'), ('maker.build', 'N/A'), ('assert.deepEqual', 'N/A'), ('maker.duplicate', 'N/A')]",[]
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  hooks.beforeEach(function () {
    this.maker = new Maker();
    this.parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', function (assert) {
    this.parts.push('arduino');
    assert.equal(this.maker.build(this.parts), 'robot');
    assert.deepEqual(this.maker.log, ['robot']);
  });

  test('makes a car', function (assert) {
    assert.equal(this.maker.build(this.parts), 'car');
    this.maker.duplicate();
    assert.deepEqual(this.maker.log, ['car', 'car']);
  });
});","['module', 'test']","[('hooks.beforeEach', 'N/A'), ('Maker', 'N/A'), ('test', 'N/A'), ('parts.push', 'N/A'), ('assert.equal', 'N/A'), ('maker.build', 'N/A'), ('assert.deepEqual', 'N/A'), ('maker.duplicate', 'N/A')]",[]
"const { test } = QUnit;

QUnit.module('Machine Maker', hooks => {
  let maker;
  let parts;
  hooks.beforeEach(() => {
    maker = new Maker();
    parts = ['wheels', 'motor', 'chassis'];
  });

  test('makes a robot', assert => {
    parts.push('arduino');
    assert.equal(maker.build(parts), 'robot');
    assert.deepEqual(maker.log, ['robot']);
  });

  test('makes a car', assert => {
    assert.equal(maker.build(parts), 'car');
    maker.duplicate();
    assert.deepEqual(maker.log, ['car', 'car']);
  });
});","['module', 'test']","[('hooks.beforeEach', 'N/A'), ('Maker', 'N/A'), ('test', 'N/A'), ('parts.push', 'N/A'), ('assert.equal', 'N/A'), ('maker.build', 'N/A'), ('assert.deepEqual', 'N/A'), ('maker.duplicate', 'N/A')]",[]
"QUnit.module('Database connection', {
  before: function () {
    return new Promise(function (resolve, reject) {
      DB.connect(function (err) {
        if (err) {
          reject(err);
        } else {
          resolve();
        }
      });
    });
  },
  after: function () {
    return new Promise(function (resolve, reject) {
      DB.disconnect(function (err) {
        if (err) {
          reject(err);
        } else {
          resolve();
        }
      });
    });
  }
});",[''],"[('Promise', 'N/A'), ('DB.connect', 'N/A'), ('reject', 'N/A'), ('resolve', 'N/A'), ('DB.disconnect', 'N/A')]",[]
"QUnit.module('Robot', hooks => {
  // ...
});

// Only execute this module when developing the feature,
// skipping tests from other modules.
QUnit.module.only('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    android.loadConversationData({
      Hi: 'Hello',
      ""What's your name?"": 'My name is AN-2178.',
      'Nice to meet you!': 'Nice to meet you too!',
      '...': '...'
    });

    assert.strictEqual(
      android.answer(""What's your name?""),
      'My name is AN-2178.'
    );
  });

  // ...
});","['module', 'only', 'test']","[('hooks.beforeEach', 'N/A'), ('Android', 'N/A'), ('QUnit.test', 'N/A'), ('assert.strictEqual', 'N/A'), ('android.hello', 'N/A'), ('android.loadConversationData', 'N/A'), ('android.answer', 'N/A')]",[]
"QUnit.module('Robot', hooks => {
  // ...
});

// Skip this module's tests.
// For example if the android tests are failing due to unsolved problems.
QUnit.module.skip('Android', hooks => {
  let android;
  hooks.beforeEach(() => {
    android = new Android();
  });

  QUnit.test('Say hello', assert => {
    assert.strictEqual(android.hello(), 'Hello, my name is AN-2178!');
  });

  QUnit.test('Basic conversation', assert => {
    // ...
    assert.strictEqual(
      android.answer('Nice to meet you!'),
      'Nice to meet you too!'
    );
  });

  // ...
});","['module', 'skip', 'test']","[('hooks.beforeEach', 'N/A'), ('Android', 'N/A'), ('QUnit.test', 'N/A'), ('assert.strictEqual', 'N/A'), ('android.hello', 'N/A'), ('android.answer', 'N/A')]",[]
"QUnit.module.todo('Robot', hooks => {
  let robot;
  hooks.beforeEach(() => {
    robot = new Robot();
  });

  QUnit.test('Say', assert => {
    // Currently, it returns undefined
    assert.strictEqual(robot.say(), ""I'm Robot FN-2187"");
  });

  QUnit.test('Move arm', assert => {
    // Move the arm to point (75, 80). Currently, each throws a NotImplementedError
    robot.moveArmTo(75, 80);
    assert.deepEqual(robot.getPosition(), { x: 75, y: 80 });
  });

  // ...
});","['todo', 'test']","[('hooks.beforeEach', 'N/A'), ('Robot', 'N/A'), ('QUnit.test', 'N/A'), ('assert.strictEqual', 'N/A'), ('robot.say', 'N/A'), ('robot.moveArmTo', 'N/A'), ('assert.deepEqual', 'N/A'), ('robot.getPosition', 'N/A')]",[]
"QUnit.config.autostart = false;

require(
  ['test/tests1.js', 'test/tests2.js'],
  QUnit.start
);",['start'],"[('require', 'N/A')]",[]
