Examples,Henry's paragraphs,Sarah's paragraphs,Conflicts?,Resolved paragraphs,Program,Has paragraphs,Updated program,Paragraph count,Program count,Program correct,Updated program count,Updated program correct
"$.ajax({
  url: url,
  data: data,
  success: success,
  dataType: dataType
});","This is a shorthand Ajax function, which is equivalent to:","This is a shorthand Ajax function, which is equivalent to:",0,"This is a shorthand Ajax function, which is equivalent to:",,FALSE,,1,0,0,0,0
"$.get( ""ajax/test.html"", function( data ) {
  $( "".result"" ).html( data );
  alert( ""Load was performed."" );
});",Most implementations will specify a success handler:,This example fetches the requested HTML snippet and inserts it on the page.,1,This example fetches the requested HTML snippet and inserts it on the page.,,,"As of jQuery 1.5, the success callback function is also passed a ""jqXHR"" object (in jQuery 1.4, it was passed the XMLHttpRequest object). However, since JSONP and cross-domain GET requests do not use XHR, in those cases the jqXHR and textStatus parameters passed to the success callback are undefined.",1,0,0,1,0
"// Assign handlers immediately after making the request,
// and remember the jqxhr object for this request
var jqxhr = $.get( ""example.php"", function() {
  alert( ""success"" );
})
  .done(function() {
    alert( ""second success"" );
  })
  .fail(function() {
    alert( ""error"" );
  })
  .always(function() {
    alert( ""finished"" );
  });
 
// Perform other work here ...
 
// Set another completion function for the request above
jqxhr.always(function() {
  alert( ""second finished"" );
});","The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",,,,1,0,0,0,0
"$.get( ""test.php"" );","Request the test.php page, but ignore the return results.","Request the test.php page, but ignore the return results.",0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.","Request the test.php page, but ignore the return results.",,"Request the test.php page, but ignore the return results.",1,1,0,1,0
"$.get( ""test.php"", { name: ""John"", time: ""2pm"" } );",Request the test.php page and send some additional data along (while still ignoring the return results).,Request the test.php page and send some additional data along (while still ignoring the return results).,0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",Request the test.php page and send some additional data along (while still ignoring the return results).,,Request the test.php page and send some additional data along (while still ignoring the return results).,1,1,0,1,0
"$.get( ""test.php"", { ""choices[]"": [""Jon"", ""Susan""] } );",Pass arrays of data to the server (while still ignoring the return results).,Pass arrays of data to the server (while still ignoring the return results).,0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",,,,1,0,0,0,0
"$.get( ""test.php"", function( data ) {
  alert( ""Data Loaded: "" + data );
});","Alert the results from requesting test.php (HTML or XML, depending on what was returned).","Alert the results from requesting test.php (HTML or XML, depending on what was returned).",0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",,,"Alert the results from requesting test.php (HTML or XML, depending on what was returned).",1,0,0,1,0
"$.get( ""test.cgi"", { name: ""John"", time: ""2pm"" } )
  .done(function( data ) {
    alert( ""Data Loaded: "" + data );
  });","Alert the results from requesting test.cgi with an additional payload of data (HTML or XML, depending on what was returned).","Alert the results from requesting test.cgi with an additional payload of data (HTML or XML, depending on what was returned).",0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",,,"Alert the results from requesting test.cgi with an additional payload of data (HTML or XML, depending on what was returned).",1,0,0,1,0
"$.get( ""test.php"", function( data ) {
  $( ""body"" )
    .append( ""Name: "" + data.name ) // John
    .append( ""Time: "" + data.time ); //  2pm
}, ""json"" );","Get the test.php page contents, which has been returned in json format (<?php echo json_encode( array( ""name""=>""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.","Get the test.php page contents, which has been returned in json format (<?php echo json_encode( array( ""name""=>""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.",0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",,,"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.",1,0,0,1,0
"// If this was sent on https://api.jquery.com/jQuery.get/ you will
// get the response result of https://api.jquery.com/jQuery.ajax/
$.get( ""/jQuery.ajax/"", function( data ) {
  console.log( typeof data ); // string
  console.log( data ); // HTML content of the jQuery.ajax page
});",Get another page on the same domain. Outputs to console both the data returned and the type of data returned.,Get another page on the same domain. Outputs to console both the data returned and the type of data returned.,0,"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",,,Get another page on the same domain. Outputs to console both the data returned and the type of data returned.,1,0,0,1,0
,,,,,,,,,,,,
,,,,,Program,,Updated program,10,2,0,7,0
,,,,Precision,0.00%,,0.00%,,,,,
,,,,Recall,0.00%,,0.00%,,,,,
